original_smiles,augmented_smiles,augmentation_type,scaffold,split
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCC(NO)CC1)c1cc(ccc1)C(C)(C)C,CC(O)=NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(NO)CC1,tautomer,c1ccc(CCCC[NH2+]C2(c3ccccc3)CCCCC2)cc1,train
Fc1cc(cc(F)c1)CC(NC(=O)C)C(O)C[NH2+]C1(CCC(NO)CC1)c1cc(ccc1)C(C)(C)C,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(NO)CC1,tautomer,c1ccc(CCCC[NH2+]C2(c3ccccc3)CCCCC2)cc1,train
O1CCCCNc2cc(N3C=COC3)cc(c2)C(=O)NC(Cc2cc1ccc2)C(O)C[NH2+]Cc1cc(ccc1)C(C)C,O1CCCCNc2cc(N3C=COC3)cc(c2)C(=O)NC(Cc2cc1ccc2)C(O)C[NH2+]Cc1cc(ccc1)C(C)C,original,O=C1NC(CC[NH2+]Cc2ccccc2)Cc2cccc(c2)OCCCCNc2cc1cc(N1C=COC1)c2,test
O1CCCCNc2cc(N3C=COC3)cc(c2)C(=O)NC(Cc2cc1ccc2)C(O)C[NH2+]Cc1cc(ccc1)C(C)C,c1(C(C)C)cc(C[NH2+]CC(O)C2Cc3cc(ccc3)OCCCCNc3cc(cc(C(=O)N2)c3)N2C=COC2)ccc1,random_smiles,O=C1NC(CC[NH2+]Cc2ccccc2)Cc2cccc(c2)OCCCCNc2cc1cc(N1C=COC1)c2,test
O1CCCCNc2cc(N3C=COC3)cc(c2)C(=O)NC(Cc2cc1ccc2)C(O)C[NH2+]Cc1cc(ccc1)C(C)C,c1ccc2cc1CC(NC(=O)c1cc(N3COC=C3)cc(c1)NCCCCO2)C(C[NH2+]Cc1cc(C(C)C)ccc1)O,random_smiles,O=C1NC(CC[NH2+]Cc2ccccc2)Cc2cccc(c2)OCCCCNc2cc1cc(N1C=COC1)c2,test
O1CCCCNc2cc(N3C=COC3)cc(c2)C(=O)NC(Cc2cc1ccc2)C(O)C[NH2+]Cc1cc(ccc1)C(C)C,C1CNc2cc(cc(c2)N2COC=C2)C(=O)NC(C(C[NH2+]Cc2cccc(c2)C(C)C)O)Cc2cc(OCC1)ccc2,random_smiles,O=C1NC(CC[NH2+]Cc2ccccc2)Cc2cccc(c2)OCCCCNc2cc1cc(N1C=COC1)c2,test
O1CCCCNc2cc(N3C=COC3)cc(c2)C(=O)NC(Cc2cc1ccc2)C(O)C[NH2+]Cc1cc(ccc1)C(C)C,C([NH2+]Cc1cccc(C(C)C)c1)C(O)C1Cc2cccc(OCCCCNc3cc(cc(c3)N3COC=C3)C(=O)N1)c2,random_smiles,O=C1NC(CC[NH2+]Cc2ccccc2)Cc2cccc(c2)OCCCCNc2cc1cc(N1C=COC1)c2,test
O1CCCCNc2cc(N3C=COC3)cc(c2)C(=O)NC(Cc2cc1ccc2)C(O)C[NH2+]Cc1cc(ccc1)C(C)C,c1cc(cc(C[NH2+]CC(O)C2Cc3cc(ccc3)OCCCCNc3cc(cc(N4COC=C4)c3)C(N2)=O)c1)C(C)C,random_smiles,O=C1NC(CC[NH2+]Cc2ccccc2)Cc2cccc(c2)OCCCCNc2cc1cc(N1C=COC1)c2,test
O1CCCCNc2cc(N3C=COC3)cc(c2)C(=O)NC(Cc2cc1ccc2)C(O)C[NH2+]Cc1cc(ccc1)C(C)C,CC(C)c1cccc(C[NH2+]CC(O)C2Cc3cccc(c3)OCCCCNc3cc(cc(N4C=COC4)c3)C(=O)N2)c1,tautomer,O=C1NC(CC[NH2+]Cc2ccccc2)Cc2cccc(c2)OCCCCNc2cc1cc(N1C=COC1)c2,test
O1CCCCNc2cc(N3C=COC3)cc(c2)C(=O)NC(Cc2cc1ccc2)C(O)C[NH2+]Cc1cc(ccc1)C(C)C,CC(C)c1cccc(C[NH2+]CC(O)C2Cc3cccc(c3)OCCCCNc3cc(cc(N4C=COC4)c3)C(O)=N2)c1,tautomer,O=C1NC(CC[NH2+]Cc2ccccc2)Cc2cccc(c2)OCCCCNc2cc1cc(N1C=COC1)c2,test
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,original,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,train
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,C1(CCCC)CCN(C(C(NC(C(C2CC(C[NH2+]2)OCCC)O)Cc2cc(cc(F)c2)F)=O)CCc2ccccc2)C1=O,random_smiles,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,train
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,c1c(cccc1)CCC(N1CCC(CCCC)C1=O)C(=O)NC(Cc1cc(F)cc(c1)F)C(O)C1[NH2+]CC(C1)OCCC,random_smiles,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,train
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,c1c(F)cc(cc1F)CC(NC(=O)C(N1C(=O)C(CCCC)CC1)CCc1ccccc1)C(C1[NH2+]CC(OCCC)C1)O,random_smiles,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,train
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,C(O)(C1[NH2+]CC(OCCC)C1)C(Cc1cc(cc(c1)F)F)NC(=O)C(CCc1ccccc1)N1CCC(CCCC)C1=O,random_smiles,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,train
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,C(C1CC(OCCC)C[NH2+]1)(C(NC(=O)C(CCc1ccccc1)N1CCC(C1=O)CCCC)Cc1cc(F)cc(c1)F)O,random_smiles,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,train
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,CCCCC1=C(O)N(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(OCCC)C[NH2+]2)CC1,tautomer,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,train
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,CCCCC1=C(O)N(C(CCc2ccccc2)=C(O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(OCCC)C[NH2+]2)CC1,tautomer,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,train
Fc1cc(cc(F)c1)CC(NC(=O)C(N1CCC(CCCC)C1=O)CCc1ccccc1)C(O)C1[NH2+]CC(OCCC)C1,CCCCC1=C(O)N(C(CCc2ccccc2)C(O)=NC(Cc2cc(F)cc(F)c2)C(O)C2CC(OCCC)C[NH2+]2)CC1,tautomer,O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,train
Clc1cc(cnc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,Clc1cc(cnc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,original,O=C1NC=NC12CCOc1ccc(-c3cccnc3)cc12,train
Clc1cc(cnc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,c12C3(C(N(C(=N3)N)C)=O)CC(Oc2ccc(-c2cncc(Cl)c2)c1)(C)C,random_smiles,O=C1NC=NC12CCOc1ccc(-c3cccnc3)cc12,train
Clc1cc(cnc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,c1c(ccc2OC(CC3(N=C(N)N(C3=O)C)c21)(C)C)-c1cc(Cl)cnc1,random_smiles,O=C1NC=NC12CCOc1ccc(-c3cccnc3)cc12,train
Clc1cc(cnc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,c12ccc(cc1C1(CC(C)(C)O2)N=C(N(C1=O)C)N)-c1cc(Cl)cnc1,random_smiles,O=C1NC=NC12CCOc1ccc(-c3cccnc3)cc12,train
Clc1cc(cnc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,n1cc(cc(c1)Cl)-c1cc2C3(N=C(N(C3=O)C)N)CC(C)(C)Oc2cc1,random_smiles,O=C1NC=NC12CCOc1ccc(-c3cccnc3)cc12,train
Clc1cc(cnc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,C1(=O)C2(N=C(N1C)N)CC(C)(Oc1c2cc(-c2cncc(Cl)c2)cc1)C,random_smiles,O=C1NC=NC12CCOc1ccc(-c3cccnc3)cc12,train
Clc1cc(cnc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cncc(Cl)c4)cc32)N=C1N,tautomer,O=C1NC=NC12CCOc1ccc(-c3cccnc3)cc12,train
Clc1cc(cnc1)-c1cc2c(OC(CC23N=C(N)N(C)C3=O)(C)C)cc1,CN1C(=N)NC2(CC(C)(C)Oc3ccc(-c4cncc(Cl)c4)cc32)C1=O,tautomer,O=C1NC=NC12CCOc1ccc(-c3cccnc3)cc12,train
Clc1cn(nc1C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1)C(F)F,Clc1cn(nc1C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1)C(F)F,original,O=C(Nc1cccc(C2CCOC=N2)c1)c1cc[nH]n1,train
Clc1cn(nc1C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1)C(F)F,C1C(F)(C(c2c(F)ccc(NC(c3nn(C(F)F)cc3Cl)=O)c2)(N=C(N)O1)C)F,random_smiles,O=C(Nc1cccc(C2CCOC=N2)c1)c1cc[nH]n1,train
Clc1cn(nc1C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1)C(F)F,c1c(C2(N=C(OCC2(F)F)N)C)c(ccc1NC(c1nn(C(F)F)cc1Cl)=O)F,random_smiles,O=C(Nc1cccc(C2CCOC=N2)c1)c1cc[nH]n1,train
Clc1cn(nc1C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1)C(F)F,O=C(Nc1ccc(F)c(C2(C)C(COC(=N2)N)(F)F)c1)c1c(Cl)cn(C(F)F)n1,random_smiles,O=C(Nc1cccc(C2CCOC=N2)c1)c1cc[nH]n1,train
Clc1cn(nc1C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1)C(F)F,C1(F)(F)C(c2cc(ccc2F)NC(=O)c2nn(C(F)F)cc2Cl)(C)N=C(N)OC1,random_smiles,O=C(Nc1cccc(C2CCOC=N2)c1)c1cc[nH]n1,train
Clc1cn(nc1C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1)C(F)F,N1C(C(F)(COC=1N)F)(c1cc(ccc1F)NC(=O)c1nn(cc1Cl)C(F)F)C,random_smiles,O=C(Nc1cccc(C2CCOC=N2)c1)c1cc[nH]n1,train
Clc1cn(nc1C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1)C(F)F,CC1(c2cc(N=C(O)c3nn(C(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,tautomer,O=C(Nc1cccc(C2CCOC=N2)c1)c1cc[nH]n1,train
Clc1cn(nc1C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1)C(F)F,CC1(c2cc(N=C(O)c3nn(C(F)F)cc3Cl)ccc2F)NC(=N)OCC1(F)F,tautomer,O=C(Nc1cccc(C2CCOC=N2)c1)c1cc[nH]n1,train
Clc1cn(nc1C(=O)Nc1cc(C2(N=C(OCC2(F)F)N)C)c(F)cc1)C(F)F,CC1(c2cc(NC(=O)c3nn(C(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,tautomer,O=C(Nc1cccc(C2CCOC=N2)c1)c1cc[nH]n1,train
S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2noc(c2)CC(C)(C)C)C1,S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2noc(c2)CC(C)(C)C)C1,original,O=S1CC(Cc2ccccc2)CC([NH2+]Cc2ccon2)C1,train
S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2noc(c2)CC(C)(C)C)C1,O(CC(C(F)(F)F)Oc1c(N)c(cc(CC2CS(=O)CC(C2O)[NH2+]Cc2noc(c2)CC(C)(C)C)c1)F)C,random_smiles,O=S1CC(Cc2ccccc2)CC([NH2+]Cc2ccon2)C1,train
S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2noc(c2)CC(C)(C)C)C1,C(C)(C)(C)Cc1cc(no1)C[NH2+]C1C(C(CS(=O)C1)Cc1cc(c(c(F)c1)N)OC(COC)C(F)(F)F)O,random_smiles,O=S1CC(Cc2ccccc2)CC([NH2+]Cc2ccon2)C1,train
S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2noc(c2)CC(C)(C)C)C1,Nc1c(cc(cc1F)CC1CS(=O)CC(C1O)[NH2+]Cc1cc(CC(C)(C)C)on1)OC(COC)C(F)(F)F,random_smiles,O=S1CC(Cc2ccccc2)CC([NH2+]Cc2ccon2)C1,train
S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2noc(c2)CC(C)(C)C)C1,FC(F)(F)C(COC)Oc1c(N)c(F)cc(c1)CC1CS(=O)CC(C1O)[NH2+]Cc1noc(c1)CC(C)(C)C,random_smiles,O=S1CC(Cc2ccccc2)CC([NH2+]Cc2ccon2)C1,train
S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2noc(c2)CC(C)(C)C)C1,C(F)(F)(C(COC)Oc1cc(cc(c1N)F)CC1C(O)C(CS(C1)=O)[NH2+]Cc1noc(c1)CC(C)(C)C)F,random_smiles,O=S1CC(Cc2ccccc2)CC([NH2+]Cc2ccon2)C1,train
S1(=O)CC(Cc2cc(OC(COC)C(F)(F)F)c(N)c(F)c2)C(O)C([NH2+]Cc2noc(c2)CC(C)(C)C)C1,COCC(Oc1cc(CC2CS(=O)CC([NH2+]Cc3cc(CC(C)(C)C)on3)C2O)cc(F)c1N)C(F)(F)F,tautomer,O=S1CC(Cc2ccccc2)CC([NH2+]Cc2ccon2)C1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,original,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,c1(F)cc(CC([C@H](C[NH2+]Cc2cccc(OC)c2)O)NC(c2cc(cc(c2)C(=O)N(CCC)CCC)C)=O)cc(c1)F,random_smiles,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,C(C([C@H](C[NH2+]Cc1cc(OC)ccc1)O)NC(=O)c1cc(cc(C)c1)C(N(CCC)CCC)=O)c1cc(cc(c1)F)F,random_smiles,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,c1c(cc(cc1F)CC(NC(=O)c1cc(cc(C)c1)C(N(CCC)CCC)=O)[C@H](C[NH2+]Cc1cccc(OC)c1)O)F,random_smiles,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,C(CN(C(c1cc(C)cc(c1)C(NC([C@H](C[NH2+]Cc1cc(ccc1)OC)O)Cc1cc(cc(F)c1)F)=O)=O)CCC)C,random_smiles,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,c1c(F)cc(F)cc1CC([C@H](C[NH2+]Cc1cc(OC)ccc1)O)NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC,random_smiles,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,CCCN(CCC)C(=O)c1cc(C)cc(C(O)=NC(Cc2cc(F)cc(F)c2)[C@@H](O)C[NH2+]Cc2cccc(OC)c2)c1,tautomer,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C)C(=O)N(CCC)CCC)[C@@H](O)C[NH2+]Cc1cc(OC)ccc1,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)[C@@H](O)C[NH2+]Cc2cccc(OC)c2)c1,tautomer,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(NC(=O)C)C)C(O)C[NH2+]Cc1cc(OC)ccc1,Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(NC(=O)C)C)C(O)C[NH2+]Cc1cc(OC)ccc1,original,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(NC(=O)C)C)C(O)C[NH2+]Cc1cc(OC)ccc1,c1cc(OC)cc(c1)C[NH2+]CC(C(Cc1cc(cc(F)c1)F)NC(c1cc(cc(c1)C(C)NC(=O)C)C(=O)N(CCC)CCC)=O)O,random_smiles,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(NC(=O)C)C)C(O)C[NH2+]Cc1cc(OC)ccc1,CCCN(CCC)C(=O)c1cc(cc(c1)C(NC(Cc1cc(F)cc(F)c1)C(C[NH2+]Cc1cccc(OC)c1)O)=O)C(NC(=O)C)C,random_smiles,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(NC(=O)C)C)C(O)C[NH2+]Cc1cc(OC)ccc1,O=C(C)NC(C)c1cc(cc(c1)C(NC(Cc1cc(cc(F)c1)F)C(O)C[NH2+]Cc1cccc(c1)OC)=O)C(N(CCC)CCC)=O,random_smiles,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(NC(=O)C)C)C(O)C[NH2+]Cc1cc(OC)ccc1,c1cc(OC)cc(C[NH2+]CC(C(NC(c2cc(C(N(CCC)CCC)=O)cc(c2)C(C)NC(=O)C)=O)Cc2cc(cc(c2)F)F)O)c1,random_smiles,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(NC(=O)C)C)C(O)C[NH2+]Cc1cc(OC)ccc1,C(NC(c1cc(cc(C(=O)NC(Cc2cc(cc(c2)F)F)C(O)C[NH2+]Cc2cc(ccc2)OC)c1)C(N(CCC)CCC)=O)C)(C)=O,random_smiles,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(NC(=O)C)C)C(O)C[NH2+]Cc1cc(OC)ccc1,CCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)cc(C(C)N=C(C)O)c1,tautomer,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(NC(=O)C)C)C(O)C[NH2+]Cc1cc(OC)ccc1,C=C(O)NC(C)c1cc(C(=O)N(CCC)CCC)cc(C(O)=NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c1,tautomer,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
Fc1cc(cc(F)c1)CC(NC(=O)c1cc(cc(c1)C(=O)N(CCC)CCC)C(NC(=O)C)C)C(O)C[NH2+]Cc1cc(OC)ccc1,C=C(O)NC(C)c1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)cc(C(=O)N(CCC)CCC)c1,tautomer,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1ccccc1,train
S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC([C@H](O)C[NH2+]CC(F)F)Cc1ccccc1)C,S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC([C@H](O)C[NH2+]CC(F)F)Cc1ccccc1)C,original,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,train
S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC([C@H](O)C[NH2+]CC(F)F)Cc1ccccc1)C,c1ccccc1CC(NC(c1cc2N(S(=O)(CCc3cn(CC)c(c1)c23)=O)C)=O)[C@@H](C[NH2+]CC(F)F)O,random_smiles,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,train
S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC([C@H](O)C[NH2+]CC(F)F)Cc1ccccc1)C,c1c(CC(NC(c2cc3n(cc4c3c(c2)N(S(=O)(=O)CC4)C)CC)=O)[C@@H](C[NH2+]CC(F)F)O)cccc1,random_smiles,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,train
S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC([C@H](O)C[NH2+]CC(F)F)Cc1ccccc1)C,c1c2N(C)S(=O)(=O)CCc3cn(CC)c(cc1C(=O)NC([C@H](O)C[NH2+]CC(F)F)Cc1ccccc1)c32,random_smiles,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,train
S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC([C@H](O)C[NH2+]CC(F)F)Cc1ccccc1)C,c1c2N(C)S(CCc3cn(c(cc1C(=O)NC(Cc1ccccc1)[C@@H](C[NH2+]CC(F)F)O)c32)CC)(=O)=O,random_smiles,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,train
S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC([C@H](O)C[NH2+]CC(F)F)Cc1ccccc1)C,c1cccc(c1)CC([C@@H](C[NH2+]CC(F)F)O)NC(c1cc2n(cc3c2c(c1)N(S(=O)(=O)CC3)C)CC)=O,random_smiles,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,train
S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC([C@H](O)C[NH2+]CC(F)F)Cc1ccccc1)C,CCn1cc2c3c(cc(C(O)=NC(Cc4ccccc4)[C@H](O)C[NH2+]CC(F)F)cc31)N(C)S(=O)(=O)CC2,tautomer,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,train
S1(=O)(=O)N(c2cc(cc3n(cc(CC1)c23)CC)C(=O)NC([C@H](O)C[NH2+]CC(F)F)Cc1ccccc1)C,CCn1cc2c3c(cc(C(=O)NC(Cc4ccccc4)[C@H](O)C[NH2+]CC(F)F)cc31)N(C)S(=O)(=O)CC2,tautomer,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]C1CC1)C,S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]C1CC1)C,original,O=C(NC(CC[NH2+]C1CC1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,val
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]C1CC1)C,c12c3c(cc(c1)C(=O)NC(Cc1ccccc1)C(C[NH2+]C1CC1)O)c(cn3CCS(=O)(=O)N2C)CC,random_smiles,O=C(NC(CC[NH2+]C1CC1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,val
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]C1CC1)C,c1c(cccc1)CC(C(C[NH2+]C1CC1)O)NC(=O)c1cc2N(S(=O)(=O)CCn3c2c(c(CC)c3)c1)C,random_smiles,O=C(NC(CC[NH2+]C1CC1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,val
